Title: White Males,,,,,
"Description: Created 02-Nov-2015 14:47:59 ",,,,,
Start Year: 1993,,,,,
Start Age: 31,,,,,
Interval (Years): 3,,,,,
4.000000, 1824636.000000, 4.000000, 1633182.000000, 7.000000, 1486310.000000, 8.000000, 1421185.000000, 7.000000, 1209892.000000, 5.000000, 1206730.000000
9.000000, 1883547.000000, 11.000000, 1812572.000000, 7.000000, 1609919.000000, 9.000000, 1443939.000000, 9.000000, 1387990.000000, 6.000000, 1196896.000000
13.000000, 1794834.000000, 15.000000, 1794296.000000, 18.000000, 1721444.000000, 9.000000, 1554725.000000, 13.000000, 1401312.000000, 10.000000, 1353308.000000
23.000000, 1691148.000000, 16.000000, 1752115.000000, 22.000000, 1759818.000000, 22.000000, 1672271.000000, 19.000000, 1512111.000000, 29.000000, 1371978.000000
34.000000, 1584784.000000, 32.000000, 1649687.000000, 39.000000, 1703254.000000, 36.000000, 1697059.000000, 41.000000, 1619490.000000, 34.000000, 1468853.000000
51.000000, 1459191.000000, 45.000000, 1507851.000000, 43.000000, 1597663.000000, 44.000000, 1654479.000000, 59.000000, 1654485.000000, 58.000000, 1588948.000000
69.000000, 1234208.000000, 74.000000, 1450612.000000, 76.000000, 1500421.000000, 79.000000, 1553550.000000, 66.000000, 1607528.000000, 62.000000, 1616665.000000
58.000000, 1050923.000000, 108.000000, 1180019.000000, 116.000000, 1398093.000000, 83.000000, 1447142.000000, 111.000000, 1506694.000000, 124.000000, 1571998.000000
90.000000, 916595.000000, 110.000000, 1006680.000000, 99.000000, 1138498.000000, 131.000000, 1338225.000000, 154.000000, 1390520.000000, 143.000000, 1464879.000000
102.000000, 830958.000000, 104.000000, 865464.000000, 131.000000, 952548.000000, 163.000000, 1072385.000000, 161.000000, 1270340.000000, 164.000000, 1334951.000000
131.000000, 780055.000000, 134.000000, 766066.000000, 132.000000, 798660.000000, 148.000000, 887235.000000, 184.000000, 1010305.000000, 190.000000, 1220929.000000
140.000000, 782488.000000, 153.000000, 719246.000000, 165.000000, 703428.000000, 156.000000, 737709.000000, 177.000000, 825996.000000, 230.000000, 956261.000000
220.000000, 721694.000000, 200.000000, 707134.000000, 195.000000, 657992.000000, 181.000000, 645742.000000, 210.000000, 681232.000000, 230.000000, 771654.000000
195.000000, 669573.000000, 219.000000, 642402.000000, 201.000000, 632502.000000, 229.000000, 598591.000000, 234.000000, 591073.000000, 252.000000, 628206.000000
198.000000, 582877.000000, 254.000000, 598761.000000, 252.000000, 583745.000000, 216.000000, 565388.000000, 200.000000, 537502.000000, 225.000000, 536820.000000
180.000000, 466138.000000, 219.000000, 501537.000000, 224.000000, 517581.000000, 240.000000, 507735.000000, 222.000000, 496836.000000, 236.000000, 477415.000000
178.000000, 351602.000000, 187.000000, 379257.000000, 165.000000, 411693.000000, 208.000000, 430571.000000, 205.000000, 427726.000000, 216.000000, 423279.000000
114.000000, 237585.000000, 148.000000, 269479.000000, 160.000000, 292975.000000, 175.000000, 322374.000000, 191.000000, 341642.000000, 194.000000, 344577.000000
