Title: Belgium Female Lung Cancer Mortality,,,,,,,,,
"Description: Example from: Clayton D. & Schifflers E. Models for temporal variation in cancer rates. I: Age-period and age-cohort models. Stat. Med., 1987; 6:449-467.",,,,,,,,,
Start Year: 1955,,,,,,,,,
Start Age: 25,,,,,,,,,
Interval (Years): 5,,,,,,,,,
3,1578947.368,2,1538461.538,7,1400000,3,1578947.368,10,1428571.429
11,1666666.667,16,1632653.061,11,1527777.778,10,1408450.704,7,1228070.175
11,1410256.41,22,1666666.667,24,1632653.061,25,1524390.244,15,1136363.636
36,1348314.607,44,1392405.063,42,1660079.051,53,1568047.337,48,1221374.046
77,1590909.091,74,1321428.571,68,1379310.345,99,1636363.636,88,1288433.382
106,1606060.606,131,1541176.471,99,1294117.647,142,1340887.63,134,1285988.484
157,1515444.015,184,1533333.333,189,1490536.278,180,1255230.126,177,986072.4234
193,1307588.076,232,1417226.634,262,1455555.556,249,1414772.727,239,999581.765
219,1066731.612,267,1181415.929,323,1297188.755,325,1335799.425,343,1048929.664
223,849847.561,250,902527.0758,308,1010830.325,412,1115322.144,358,930595.269
198,591574.5444,214,636715.2633,253,688060.9192,338,773632.4102,312,690265.4867
