Title: Pancreas Cancer in Females,,,,,,,
"Description: ICD-O-3 Site Codes C250-259, SEER 9+13+17 Registries Databases, November 2011 Submission",,,,,,,
Start Year: 1993,,,,,,,
Start Age: 33,,,,,,,
Interval (Years): 4,,,,,,,
24,5241669,33,5093922,20,4808326,31,4702121
34,4969935,48,5157733,55,4998516,49,4724585
84,4464138,100,4852854,87,5060050,112,4907558
139,3950908,146,4394963,214,4795796,202,4963444
223,3236185,262,3983615,285,4334967,337,4682585
264,2646972,335,3159339,401,3857792,462,4194788
370,2276580,380,2531162,489,3000143,657,3685285
465,2136113,547,2155275,595,2384617,758,2832300
725,2153193,677,2023311,753,2038710,775,2240841
917,2022952,874,1965344,862,1885222,895,1911687
1064,1767616,1072,1854800,1088,1808948,1108,1733224
971,1424465,1085,1544791,1124,1633085,1204,1602380
863,1051362,910,1134925,1042,1265687,1172,1355442
